NTA Name,NTA Code,Borough Name,Borough CD,Total Population,% Hispanic Latino,% White,% Black/African American
124. Hollis,MN27,Manhattan,111.0,68404,,,
125. St. Albans,MN28,Manhattan,111.0,81559,,,
126. Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,MN31,Manhattan,112.0,78241,,,
127. Hammels-Arverne-Edgemere,MN32,Queens,112.0,59869,,,
128. Far Rockaway-Bayswater,MN33,Queens,108.0,62810,,,
129. Forest Hills,MN34,Queens,106.0,73052,,,
130. Rego Park,MN35,Queens,106.0,93663,,,
131. Glendale,MN36,Queens,412.0,55649,,,
132. Ridgewood,MN40,Queens,412.0,22032,,,
133. Middle Village,MN50,Queens,413.0,1885,,,
134. Flushing,MN99,Queens,413.0,43253,,,
135. College Point,QN01,Queens,408.0,27649,,,
136. Corona,QN02,Queens,412.0,22380,,,
137. North Corona,QN03,Queens,413.0,26117,,,
138. East Elmhurst,QN05,Queens,414.0,26517,,,
139. Jackson Heights,QN06,Queens,414.0,21448,,,
140. Elmhurst,QN07,Queens,414.0,53134,,,
141. Maspeth,QN08,Queens,406.0,27894,,,
142. Hunters Point-Sunnyside-West Maspeth,QN10,Queens,406.0,41470,,,
143. Cambria Heights,QN12,Queens,405.0,56522,,,
144. Queens Village,QN15,Queens,405.0,88313,,,
145. Briarwood-Jamaica Hills,QN17,Queens,405.0,27739,,,
146. Kew Gardens Hills,QN18,Queens,407.0,35576,,,
147. Pomonok-Flushing Heights-Hillcrest,QN19,Queens,407.0,75437,,,
148. Fresh Meadows-Utopia,QN20,Queens,404.0,40435,,,
149. Oakland Gardens,QN21,Queens,403.0,70219,,,
150. Bellerose,QN22,Queens,403.0,24795,,,
151. Glen Oaks-Floral Park-New Hyde Park,QN23,Queens,403.0,58498,,,
152. Douglas Manor-Douglaston-Little Neck,QN25,Queens,403.0,54146,,,
153. Bayside-Bayside Hills,QN26,Queens,404.0,19790,,,
154. Ft. Totten-Bay Terrace-Clearview,QN27,Queens,405.0,98728,,,
